SR.NO,Country Name,Total Count
1,United States USA,13032
2,Russia RUS,4237
3,China CHN,3529
4,India IND,2183
5,South Korea SKO,1540
6,Japan JPN,1429
7,Pakistan PAK,1397
8,Turkiye TKY,1101
9,Egypt EGY,1088
10,France FRA,974
11,Saudi Arabia SAR,917
12,North Korea NKO,837
13,Taiwan TWN,720
14,Italy ITA,714
15,United Kingdom UKD,625
16,Algeria ALG,620
17,Israel ISR,597
18,United Arab Emirates UAE,581
19,Germany GER,569
20,Greece GRE,560
21,Iran IRN,551
22,Thailand THL,496
23,Brazil BRA,495
24,Indonesia INO,460
25,Poland POL,457
26,Spain SPN,440
27,Colombia COL,430
28,Mexico MEX,424
29,Iraq IRQ,360
30,Canada CAN,354
31,Australia AUS,348
32,Ukraine UKR,347
33,Myanmar MYA,331
34,Jordan JOR,279
35,Angola ANG,278
36,Chile CHI,274
37,Morocco MOR,271
38,Vietnam VET,265
39,Qatar QTR,263
40,Peru PER,252
41,Argentina ARG,241
42,Singapore SNG,235
43,Venezuela VEN,224
44,Bangladesh BNG,212
45,Philippines PHL,204
46,Belarus BLR,194
47,Sudan SDN,183
48,South Africa SAF,181
49,Sweden SWE,172
50,Kazakhstan KAZ,168
51,Finland FIN,162
52,Yemen YEM,160
53,Azerbaijan AZR,159
54,Nigeria NGA,159
55,Uzbekistan UZB,159
56,Tunisia TUN,155
57,Kenya KEN,154
58,Romania ROM,148
59,Switzerland SWZ,141
60,Bahrain BAH,137
61,Kuwait KUW,133
62,Malaysia MLY,132
63,Netherlands NTH,130
64,Oman OMA,128
65,Portugal POR,128
66,Denmark DEN,122
67,Serbia SRB,115
68,Norway NOR,109
69,Belgium BEL,104
70,Ethiopia ETH,104
71,Syria SYR,104
72,Czechia CZC,103
73,Ecuador ECU,99
74,Turkmenistan TKM,91
75,Austria AST,90
76,Sri Lanka SRL,90
77,Libya LBY,83
78,Dominican Republic DOM,80
79,Hungary HUN,80
80,Lebanon LEB,80
81,Zimbabwe ZIM,80
82,Zambia ZAM,78
83,Bulgaria BUL,71
84,Armenia ARM,69
85,Bolivia BOL,67
86,Croatia CRO,67
87,Georgia GEO,61
88,Democratic Republic of the Congo DRC,56
89,El Salvador ESL,51
90,Uganda UGA,51
91,Paraguay PAR,49
92,Slovakia SLK,48
93,New Zealand NWZ,47
94,Botswana BOT,45
95,Honduras HON,45
96,Mali MAL,44
97,Uruguay URU,43
98,Chad CHD,40
99,Slovenia SLN,40
100,Senegal SEN,39
101,Panama PAN,38
102,Tanzania TNZ,38
103,Namibia NAM,36
104,Cameroon CAM,35
105,Guatemala GUA,35
106,Laos LAO,29
107,Burkina Faso BKF,26
108,Niger NGR,26
109,Gabon GAB,25
110,Tajikistan TJK,25
111,Cambodia CMB,24
112,Ireland IRE,23
113,Mauritania MAU,23
114,Mozambique MOZ,23
115,Ivory Coast IVC,22
116,Albania ALB,20
117,Cuba CUB,20
118,Eritrea ERI,20
119,North Macedonia MAC,20
120,South Sudan SSD,19
121,Ghana GHA,18
122,Nepal NEP,17
123,Nicaragua NIC,17
124,Bosnia and Herzegovina BOS,15
125,Republic of the Congo ROC,14
126,Montenegro MTN,10
127,Lithuania LIT,9
128,Central African Republic CAR,8
129,Mongolia MGL,8
130,Benin BEN,7
131,Kyrgyzstan KYR,7
132,Madagascar MAD,6
133,Somalia SOM,6
134,Afghanistan AFG,5
135,Beliz BLZ,3
136,Latvia LAT,3
137,Moldova MOL,3
138,Suriname SRN,3
139,Bhutan BUT,2
140,Estonia EST,2
141,Luxembourg LUX,1
142,Sierra Leone SLE,1
143,Iceland ICE,0
144,Kosovo KOS,0
145,Liberia LIB,0
